#;Tier (1/2/3);Scope;Control Reference;Design Effectiveness Assessment;Test Procedures ;Answers based on Clients data;Findings 04/12 Juan
56;1;ECL Calculation;11.1;Is the integration of PD, LGD, EAD, and FLI in ECL calculation clearly specified and implemented for each stage?;Test 11.1: Re-calculate one loan's ECL in Excel using the inputs. Match to system result.;"No Documentado. No se encuentra evidencia en la Política ni en la Respuesta a la Inspección sobre el tratamiento contable o identificación específica de activos POCI (Purchased or Originated Credit Impaired). Se mencionan ""Documentos Comprados"", pero bajo la óptica de Tratamiento Individual por falta de historia, no necesariamente como activos deteriorados desde el origen.";Integración metodológica incompleta. La metodología no detalla cómo se combinan los factores cuantitativos y cualitativos en el proceso de provisión individual ni existe documentación sobre la proporción de exposiciones tratadas de forma individual o comparativas entre provisión individual y colectiva. Esto limita la transparencia y reproducibilidad del cálculo ECL.
57;1;ECL Calculation;11.2;Does ECL calculation respect Stage 1, Stage 2, and Stage 3 definitions (e.g., 12-month vs lifetime horizon, treatment of default exposures)?;"Test 11.2: Check the ""Horizon"" parameter in the engine for Stage 2 loans. Must be > 12 months.";Sí. Existen controles de integridad. Se realiza una verificación para asegurar que no queden operaciones activas sin segmento asignado. Además, se ejecuta un control mensual de conciliación analizando las diferencias entre el stock de previsiones NIIF vs. Normativas.;Criterios individuales no definidos. No están documentados los umbrales, pesos o criterios utilizados para determinar el pase a Stage 1, 2 o 3 en provisión individual. Tampoco se evidencia un proceso de contraste de la información declarada por el cliente ni una evaluación sistemática de los factores cualitativos que sustentan la clasificación. Esta falta de lineamientos afecta la consistencia en la asignación de stages.
58;1;ECL Calculation;11.3;Staging criteria and thresholds for significant increase in credit risk (SICR), Thorough assessment of SICR criteria and application. Test on Sample basis on loan tapes.;Test 11.3: Check a loan with 40 DPD. Is it Stage 2? If it is Stage 1, is there a valid rebuttal?;Parcial / Operativo. La Política exige una revisión anual. A nivel operativo, el Banco monitorea mensualmente las variaciones en las previsiones y analiza métricas como el promedio de PD por segmento (ej. 0.4% en Stage 1 NIIF vs 1% Normativo). Sin embargo, no se evidencia el uso de reportes estadísticos de estabilidad específicos como PSI (Population Stability Index) en los documentos provistos.;El ISRC únicamente se basa en 30DPD y no en un incremento en los niveles de PD. La regulación destaca que el ISRC debe medirse en cuanto a un aumento de la PD Lifetime comparada con originación (criterio por determinar, aumento relativo,e tc.). Igualmente, el threefold increase sirve como referencia (aumento de x3 respecto a originación).
59;2;ECL Calculation;11.4;Segmentation of financial assets into homogeneous risk groups (Not testing, but rather if it's taken into account, if different methodologies are used for different segments, homogeneity tests performed etc.);Test 11.4: Verify that Retail loans use the Retail Model and Corporate use the Corporate Model.;"Sí. Existe un proceso de control de cambios robusto. Las modificaciones metodológicas importantes (como el cambio de ventana histórica de PD o el cambio de cálculo de montos a casos) requieren aprobación del Directorio/Comité y están sujetas a un periodo de pruebas en paralelo (""pruebas de cálculo en paralelo"") durante dos meses (julio-agosto) antes de la implementación definitiva.";
60;1;ECL Calculation;11.5;Is the overall ECL methodology consistent with expected loss standard requirements and relevant supervisory guidelines?;Test 11.5: (General) confirm the final booking includes the weighted average of scenarios.;"Parcial / Enfoque Estructural. No existe una política de ""Overrides"" ad-hoc (ajustes manuales arbitrarios sobre el resultado del modelo colectivo) con topes porcentuales definidos (ej. ""max 5%""). Sin embargo, existe una política formal de ""Tratamiento Individual"" para operaciones especiales o sin historia3. Para estos casos, el Banco aplica un modelo de Score específico de 10 variables administrado por el Área de Riesgo Crediticio en lugar del modelo colectivo estándar4.";
61;2;ECL Calculation;11.6;Does the book include POCIs? How are they treated? Are they correctly recognised?;"Test 11.6: Search for POCI flag. Ensure they do not have a ""Stage 1"" but are tracked as POCI from Day 1.";"Sí. El proceso de aprobación para las evaluaciones manuales (Tratamiento Individual) es robusto y requiere alta jerarquía. La Política establece que la Gerencia de Riesgo Crediticio debe determinar el monto de PCE para estos activos 5y elevar al Directorio para su aprobación el monto de la pérdida crediticia esperada de dicho segmento6666. Adicionalmente, para los futuros ajustes de prospectividad (Forward Looking) en LGD, las decisiones serán formalizadas mediante Acta en el ""Comité de GIR y Cumplimiento""7.";
62;2;ECL Calculation;11.7;Are there controls to ensure integrity and traceability of the ECL calculation process (reconciliations, reviews, execution documentation)?;"Test 11.7: Compare ""Number of Loans"" in Input File vs. Output File. Should match.";;
63;1;Model Monitoring;12.1;Are there processes and controls for continuous monitoring of model risk to detect performance deterioration or significant changes in the environment?;"Test 12.1: Review the ""Model Monitoring Package"". Look for PSI (Population Stability Index) charts.";"Partial. The Policy requires a review of the model ""at least annually"". Operationally, the bank performs a monthly monitoring of the difference between NIIF and Normative provisions to detect variances, analyzing specific segments (e.g., identifying that Corporate PD is 0.4% vs 1% Normative). However, specific statistical monitoring charts like PSI (Population Stability Index) are not explicitly detailed in the provided documentation.";No se identifican procesos, métricas ni reportes de seguimiento periódico que permitan evaluar el desempeño, estabilidad o desvíos del modelo NIIF 9 en producción. La falta de monitoreo limita la detección temprana de deterioro en los parámetros y el cumplimiento de las expectativas de control del ciclo de vida del modelo.
64;2;Model Monitoring;12.2;Are there adequate controls over key processes (segmentation, model selection, parameter calibration, staging) that establish minimum steps and criteria for accepting new models, drivers, or methodological changes?;"Test 12.2: Request the ""Change Log"". Verify that the last model update was tested in UAT before Prod.";;
65;1;Model Overrides;13.1;Is there a formal policy defining when and how model overrides can be applied (e.g., thresholds, exceptional circumstances)?;Test 13.1: Review Policy. Does it set caps/limits on overrides? (e.g., max 5% of portfolio).;"Partial / Structural Approach. There is no documented ""Override Policy"" with specific caps (e.g., max 5%) for adjusting the collective model output. Instead, the Bank defines a ""Tratamiento Individual"" (Individual Treatment) segment for operations that are new, unusual, or lack payment history. These specific cases are removed from the collective model and assessed using a specific Scoring Model (10 variables) managed by Credit Risk.";No existe información ni lineamientos formales respecto al uso de overrides en el proceso NIIF 9, incluyendo criterios de aplicación, documentación requerida, aprobación, límites ni controles asociados.
66;1;Model Overrides;13.2;Are all overrides documented with clear justification, supporting evidence, and approval from an independent authority?;"Test 13.2: Select a sample of 5 recent overrides (Post-Model Adjustments). Inspect the ""Credit Committee"" or ""Risk Committee"" minutes to find the specific approval for these adjustments.";"Yes. The approval process is formally governed. For assets under ""Individual Treatment"" (manual/score-based estimation), the Credit Risk Manager determines the ECL amount and must elevate it to the Board (Directorio) for approval. Additionally, future forward-looking adjustments for LGD will be analyzed and approved by the Risk & Compliance Committee, formalized in minutes.";
67;3;Model Overrides;13.3;Are overrides subject to periodic review to ensure they remain valid and do not introduce bias or undermine model integrity?;"Test 13.3: Request a time-series report of overrides. Check if specific overrides (e.g., ""sector adjustment"") are rolled over quarter-after-quarter (indicating a permanent model deficiency) or if they expire/reverse.";;
